"The Archival Location subchunk \"IARL\" read in Little Endian.", "ArchivalLocation", "", "IARL"
"The Artist subchunk \"IART\" read in Little Endian.", "Artist", "", "IART"
"The Commissioned subchunk \"ICMS\" read in Little Endian.", "Commissioned", "", "ICMS"
"The Comments subchunk \"ICMT\" read in Little Endian.", "Comments", "", "ICMT"
"The Copyright subchunk \"ICOP\" read in Little Endian.", "Copyright", "", "ICOP"
"The Creation Date subchunk \"ICRD\" read in Little Endian.", "CreationDate", "", "ICRD"
"The Cropped subchunk \"ICRP\" read in Little Endian.", "Cropped", "", "ICRP"
"The Dimensions subchunk \"IDIM\" read in Little Endian.", "Dimensions", "", "IDIM"
"The Dots Per Inch subchunk \"IDPI\" read in Little Endian.", "DotsPerInch", "", "IDPI"
"The Engineer subchunk \"IENG\" read in Little Endian.", "Engineer", "", "IENG"
"The Genre subchunk \"IGNR\" read in Little Endian.", "Genre", "", "IGNR"
"The Keywords subchunk \"IKEY\" read in Little Endian.", "Keywords", "", "IKEY"
"The Lightness subchunk \"ILGT\" read in Little Endian.", "Lightness", "", "ILGT"
"The Medium subchunk \"IMED\" read in Little Endian.", "Medium", "", "IMED"
"The Name subchunk \"INAM\" read in Little Endian.", "Name", "", "INAM"
"The Palette Setting subchunk \"IPLT\" read in Little Endian.", "PaletteSetting", "", "IPLT"
"The Product subchunk \"IPRD\" read in Little Endian.", "Product", "", "IPRD"
"The Subject subchunk \"ISBJ\" read in Little Endian.", "Subject", "", "ISBJ"
"The Software subchunk \"ISFT\" read in Little Endian.", "Software", "", "ISFT"
"The Sharpness subchunk \"ISHP\" read in Little Endian.", "Sharpness", "", "ISHP"
"The Source subchunk \"ISRC\" read in Little Endian.", "Source", "", "ISRC"
"The SourceForm subchunk \"ISRF\" read in Little Endian.", "SourceForm", "", "ISRF"
"The Technician subchunk \"ITCH\" read in Little Endian.", "Technician", "", "ITCH"
